country_from,country_to,S.No.,HSCode,Commodity,2023-2024,2024-2025,%Growth
India,Afghanistan,1,1,LIVE ANIMALS.,0.00,0.00,n/a
India,Afghanistan,2,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.00,0.00,n/a
India,Afghanistan,3,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2.21,2.30,4.23
India,Afghanistan,4,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,1.40,1.31,-6.4
India,Afghanistan,5,9,"COFFEE, TEA, MATE AND SPICES.",18.88,12.26,-35.05
India,Afghanistan,6,10,CEREALS.,1.00,0.36,-63.67
India,Afghanistan,7,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.00,0.15,19544.53
India,Afghanistan,8,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",6.62,6.40,-3.29
India,Afghanistan,9,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0.56,0.03,-95.06
India,Afghanistan,10,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.02,0.01,-18.44
India,Afghanistan,11,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,0.01,0.02,127.38
India,Afghanistan,12,17,SUGARS AND SUGAR CONFECTIONERY.,11.67,8.77,-24.87
India,Afghanistan,13,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.09,0.12,30.02
India,Afghanistan,14,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",12.83,5.44,-57.57
India,Afghanistan,15,21,MISCELLANEOUS EDIBLE PREPARATIONS.,13.73,2.11,-84.61
India,Afghanistan,16,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.00,0.22,14446.45
India,Afghanistan,17,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,27.24,27.95,2.57
India,Afghanistan,18,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,9.26,15.91,71.78
India,Afghanistan,19,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.01,0.00,-56.09
India,Afghanistan,20,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",0.19,0.40,113.18
India,Afghanistan,21,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",0.22,0.34,53.71
India,Afghanistan,22,29,ORGANIC CHEMICALS,2.40,2.24,-6.52
India,Afghanistan,23,30,PHARMACEUTICAL PRODUCTS,85.85,104.89,22.17
India,Afghanistan,24,31,FERTILISERS.,0.01,0.03,330.33
India,Afghanistan,25,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",0.77,0.54,-30.12
India,Afghanistan,26,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",1.70,2.05,20.37
India,Afghanistan,27,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",0.27,0.26,-3.64
India,Afghanistan,28,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,0.01,0.04,507.16
India,Afghanistan,29,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.14,0.00,n/a
India,Afghanistan,30,38,MISCELLANEOUS CHEMICAL PRODUCTS.,1.72,1.40,-18.45
India,Afghanistan,31,39,PLASTIC AND ARTICLES THEREOF.,1.46,0.45,-69.05
India,Afghanistan,32,40,RUBBER AND ARTICLES THEREOF.,9.67,3.44,-64.45
India,Afghanistan,33,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",0.01,0.01,33.06
India,Afghanistan,34,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,0.01,0.00,-79.51
India,Afghanistan,35,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.00,0.00,n/a
India,Afghanistan,36,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",1.81,2.00,10.51
India,Afghanistan,37,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0.16,0.14,-10.51
India,Afghanistan,38,50,SILK,0.00,0.00,n/a
India,Afghanistan,39,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.00,0.00,n/a
India,Afghanistan,40,52,COTTON.,0.02,0.07,364.77
India,Afghanistan,41,54,MAN-MADE FILAMENTS.,4.79,1.54,-67.91
India,Afghanistan,42,55,MAN-MADE STAPLE FIBRES.,33.40,24.22,-27.47
India,Afghanistan,43,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",0.10,0.09,-16.79
India,Afghanistan,44,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,0.00,0.00,-49.03
India,Afghanistan,45,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,0.43,0.05,-88.36
India,Afghanistan,46,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",0.01,0.01,40.81
India,Afghanistan,47,60,KNITTED OR CROCHETED FABRICS.,0.03,0.00,n/a
India,Afghanistan,48,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",11.95,3.03,-74.66
India,Afghanistan,49,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",36.92,30.57,-17.2
India,Afghanistan,50,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,4.34,2.27,-47.78
India,Afghanistan,51,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",0.30,0.48,61.19
India,Afghanistan,52,65,HEADGEAR AND PARTS THEREOF.,0.00,0.00,201.66
India,Afghanistan,53,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.00,0.00,n/a
India,Afghanistan,54,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",0.10,0.04,-58.09
India,Afghanistan,55,69,CERAMIC PRODUCTS.,0.02,0.09,329.6
India,Afghanistan,56,70,GLASS AND GLASSWARE.,0.04,0.02,-46.17
India,Afghanistan,57,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",0.01,0.01,-36.72
India,Afghanistan,58,72,IRON AND STEEL,0.27,0.10,-61.45
India,Afghanistan,59,73,ARTICLES OF IRON OR STEEL,0.26,0.63,141.59
India,Afghanistan,60,74,COPPER AND ARTICLES THEREOF.,0.15,0.00,-98.54
India,Afghanistan,61,76,ALUMINIUM AND ARTICLES THEREOF.,0.14,0.24,80.28
India,Afghanistan,62,79,ZINC AND ARTICLES THEREOF.,0.00,0.00,1.45
India,Afghanistan,63,80,TIN AND ARTICLES THEREOF.,0.01,0.02,41.93
India,Afghanistan,64,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.00,0.03,n/a
India,Afghanistan,65,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",1.36,0.66,-51.89
India,Afghanistan,66,83,MISCELLANEOUS ARTICLES OF BASE METAL.,0.63,0.10,-84.28
